Line#,Block#,Pout,|COND|,P,Pe,Pmost,RP,Ndep,Ncon,Cdep,Blockbit,Branchbit,Maxbranchbit,Minbranchbit,Blockbranch,Rbit,NewRcond,Trojan?
157,1,1,1,0.5,0.5,0.5,1,0,1,1,134,1,128,1,13,5.830223881e-05,0.000816231,1
160,1,1,1,0.5,0.5,0.5,1,0,1,1,134,1,128,1,13,5.830223881e-05,0.000816231,1
161,1,0.5,4,0.25,0.125,0.5,0.5,0,1,1,134,1,128,1,13,5.830223881e-05,0.000816231,1
162,1,0.25,4,0.125,0.03125,0.5,0.25,0,1,1,134,1,128,1,13,5.830223881e-05,0.000816231,1
168,1,0.5,2,0.125,0.0625,0.5,0.25,0,1,1,134,1,128,1,13,5.830223881e-05,0.000816231,1
169,1,0.125,1,0.03125,0.00390625,0.5,0.0625,0,2,1,134,2,128,1,13,0.000116604,0.000874534,1
170,1,0.03125,1,9.183549616e-41,2.869859255e-42,0.5,1.836709923e-40,0,128,1,134,128,128,1,13,0.007462687,0.008220616,1
172,1,0.03125,0,0.03125,0.000976563,0.5,0.0625,0,128,1,134,128,128,1,13,0.007462687,0.008220616,1
177,1,0.5,1,0.0625,0.03125,0.5,0.125,0,1,1,134,1,128,1,13,5.830223881e-05,0.000816231,1
178,1,0.0625,1,0.03125,0.001953125,0.5,0.0625,0,1,1,134,1,128,1,13,5.830223881e-05,0.000816231,1
190,2,1,1,0.5,0.5,0.5,1,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
193,2,1,1,0.5,0.5,0.5,1,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
194,2,0.5,1,0.25,0.125,0.5,0.5,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
195,2,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
201,2,0.5,1,0.25,0.125,0.5,0.5,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
212,3,1,1,0.5,0.5,0.5,1,0,1,1,5,1,1,1,9,0.2,2,0
216,3,1,1,0.5,0.5,0.5,1,0,1,1,5,1,1,1,9,0.2,2,0
217,3,0.5,1,0.25,0.125,0.5,0.5,0,1,1,5,1,1,1,9,0.2,2,0
218,3,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
224,3,0.125,1,0.0625,0.0078125,0.5,0.125,0,1,1,5,1,1,1,9,0.2,2,0
226,3,0.125,1,0.0625,0.0078125,0.5,0.125,0,1,1,5,1,1,1,9,0.2,2,0
239,3,0.5,1,0.25,0.125,0.5,0.5,0,1,1,5,1,1,1,9,0.2,2,0
241,3,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
243,3,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
256,4,1,1,0.5,0.5,0.5,1,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
258,4,1,1,0.5,0.5,0.5,1,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
259,4,0.5,1,0.25,0.125,0.5,0.5,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
260,4,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
265,4,0.5,1,0.25,0.125,0.5,0.5,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
266,4,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
271,4,0.5,1,0.25,0.125,0.5,0.5,1,1,1,6,1,1,1,7,0.166666667,1.333333333,0
134,5,1,1,0.5,0.5,0.5,1,0,1,1,4,1,1,1,7,0.25,2,0
136,5,1,1,0.5,0.5,0.5,1,0,1,1,4,1,1,1,7,0.25,2,0
137,5,0.5,1,0.25,0.125,0.5,0.5,0,1,1,4,1,1,1,7,0.25,2,0
140,5,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,4,1,1,1,7,0.25,2,0
148,5,0.5,1,0.25,0.125,0.5,0.5,0,1,1,4,1,1,1,7,0.25,2,0
151,5,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,4,1,1,1,7,0.25,2,0
153,5,0.25,1,0.125,0.03125,0.5,0.25,1,1,1,4,1,1,1,7,0.25,2,0
148,0,1,1,2.938735877e-39,2.938735877e-39,1,2.938735877e-39,0,128,1,128,128,128,128,2,0.0078125,1.000122070,1
157,1,1,1,0.5,0.5,0.5,1,0,1,1,6,1,2,1,12,0.083333333,1.083333333,0
160,1,1,1,0.5,0.5,0.5,1,0,1,1,6,1,2,1,12,0.083333333,1.083333333,0
161,1,0.5,4,0.25,0.125,0.5,0.5,0,1,1,6,1,2,1,12,0.083333333,1.083333333,0
162,1,0.25,4,0.125,0.03125,0.5,0.25,0,1,1,6,1,2,1,12,0.083333333,1.083333333,0
168,1,0.5,2,0.125,0.0625,0.5,0.25,0,1,1,6,1,2,1,12,0.083333333,1.083333333,0
169,1,0.125,1,0.03125,0.00390625,0.5,0.0625,0,2,1,6,2,2,1,12,0.166666667,1.166666667,0
173,1,0.5,1,0.0625,0.03125,0.5,0.125,0,1,1,6,1,2,1,12,0.083333333,1.083333333,0
174,1,0.0625,1,0.03125,0.001953125,0.5,0.0625,0,1,1,6,1,2,1,12,0.083333333,1.083333333,0
190,2,1,1,0.5,0.5,0.5,1,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
193,2,1,1,0.5,0.5,0.5,1,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
194,2,0.5,1,0.25,0.125,0.5,0.5,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
195,2,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
201,2,0.5,1,0.25,0.125,0.5,0.5,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
212,3,1,1,0.5,0.5,0.5,1,0,1,1,5,1,1,1,9,0.2,2,0
216,3,1,1,0.5,0.5,0.5,1,0,1,1,5,1,1,1,9,0.2,2,0
217,3,0.5,1,0.25,0.125,0.5,0.5,0,1,1,5,1,1,1,9,0.2,2,0
218,3,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
224,3,0.125,1,0.0625,0.0078125,0.5,0.125,0,1,1,5,1,1,1,9,0.2,2,0
226,3,0.125,1,0.0625,0.0078125,0.5,0.125,0,1,1,5,1,1,1,9,0.2,2,0
239,3,0.5,1,0.25,0.125,0.5,0.5,0,1,1,5,1,1,1,9,0.2,2,0
241,3,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
243,3,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
256,4,1,1,0.5,0.5,0.5,1,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
258,4,1,1,0.5,0.5,0.5,1,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
259,4,0.5,1,0.25,0.125,0.5,0.5,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
260,4,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
265,4,0.5,1,0.25,0.125,0.5,0.5,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
266,4,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
271,4,0.5,1,0.25,0.125,0.5,0.5,1,1,1,6,1,1,1,7,0.166666667,1.333333333,0
134,5,1,1,0.5,0.5,0.5,1,0,1,1,4,1,1,1,7,0.25,2,0
136,5,1,1,0.5,0.5,0.5,1,0,1,1,4,1,1,1,7,0.25,2,0
137,5,0.5,1,0.25,0.125,0.5,0.5,0,1,1,4,1,1,1,7,0.25,2,0
140,5,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,4,1,1,1,7,0.25,2,0
148,5,0.5,1,0.25,0.125,0.5,0.5,0,1,1,4,1,1,1,7,0.25,2,0
151,5,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,4,1,1,1,7,0.25,2,0
153,5,0.25,1,0.125,0.03125,0.5,0.25,1,1,1,4,1,1,1,7,0.25,2,0
162,0,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,4,0.5,2.5,1
164,0,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,4,0.5,2.5,1
165,0,0.5,1,0.25,0.125,0.5,0.5,0,1,1,2,1,1,1,4,0.5,2.5,1
174,0.5,1,1,0.5,0.5,1,0.5,0,1,1,129,1,128,1,3,6.056201550e-05,0.000242248,1
176,0.5,1,1,1.469367939e-39,1.469367939e-39,1,1.469367939e-39,0,1,1,129,128,128,1,3,0.007751938,0.007933624,1
186,1,1,1,0.5,0.5,0.5,1,0,1,1,134,1,128,1,13,5.830223881e-05,0.000816231,1
189,1,1,1,0.5,0.5,0.5,1,0,1,1,134,1,128,1,13,5.830223881e-05,0.000816231,1
190,1,0.5,4,0.25,0.125,0.5,0.5,0,1,1,134,1,128,1,13,5.830223881e-05,0.000816231,1
191,1,0.25,4,0.125,0.03125,0.5,0.25,0,1,1,134,1,128,1,13,5.830223881e-05,0.000816231,1
197,1,0.5,2,0.125,0.0625,0.5,0.25,0,1,1,134,1,128,1,13,5.830223881e-05,0.000816231,1
198,1,0.125,1,0.03125,0.00390625,0.5,0.0625,0,2,1,134,2,128,1,13,0.000116604,0.000874534,1
200,1,0.03125,1,9.183549616e-41,2.869859255e-42,0.5,1.836709923e-40,0,128,1,134,128,128,1,13,0.007462687,0.008220616,1
202,1,0.03125,0,0.03125,0.000976563,0.5,0.0625,0,128,1,134,128,128,1,13,0.007462687,0.008220616,1
209,1,0.5,1,0.0625,0.03125,0.5,0.125,0,1,1,134,1,128,1,13,5.830223881e-05,0.000816231,1
210,1,0.0625,1,0.03125,0.001953125,0.5,0.0625,0,1,1,134,1,128,1,13,5.830223881e-05,0.000816231,1
222,2,1,1,0.5,0.5,0.5,1,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
225,2,1,1,0.5,0.5,0.5,1,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
226,2,0.5,1,0.25,0.125,0.5,0.5,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
227,2,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
233,2,0.5,1,0.25,0.125,0.5,0.5,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
244,3,1,1,0.5,0.5,0.5,1,0,1,1,5,1,1,1,9,0.2,2,0
248,3,1,1,0.5,0.5,0.5,1,0,1,1,5,1,1,1,9,0.2,2,0
249,3,0.5,1,0.25,0.125,0.5,0.5,0,1,1,5,1,1,1,9,0.2,2,0
250,3,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
256,3,0.125,1,0.0625,0.0078125,0.5,0.125,0,1,1,5,1,1,1,9,0.2,2,0
258,3,0.125,1,0.0625,0.0078125,0.5,0.125,0,1,1,5,1,1,1,9,0.2,2,0
271,3,0.5,1,0.25,0.125,0.5,0.5,0,1,1,5,1,1,1,9,0.2,2,0
273,3,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
275,3,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
288,4,1,1,0.5,0.5,0.5,1,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
290,4,1,1,0.5,0.5,0.5,1,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
291,4,0.5,1,0.25,0.125,0.5,0.5,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
292,4,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
297,4,0.5,1,0.25,0.125,0.5,0.5,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
298,4,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
303,4,0.5,1,0.25,0.125,0.5,0.5,1,1,1,6,1,1,1,7,0.166666667,1.333333333,0
134,5,1,1,0.5,0.5,0.5,1,0,1,1,4,1,1,1,7,0.25,2,0
136,5,1,1,0.5,0.5,0.5,1,0,1,1,4,1,1,1,7,0.25,2,0
137,5,0.5,1,0.25,0.125,0.5,0.5,0,1,1,4,1,1,1,7,0.25,2,0
140,5,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,4,1,1,1,7,0.25,2,0
148,5,0.5,1,0.25,0.125,0.5,0.5,0,1,1,4,1,1,1,7,0.25,2,0
151,5,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,4,1,1,1,7,0.25,2,0
153,5,0.25,1,0.125,0.03125,0.5,0.25,1,1,1,4,1,1,1,7,0.25,2,0
163,0,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,4,0.5,2.5,1
165,0,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,4,0.5,2.5,1
166,0,0.5,1,0.25,0.125,0.5,0.5,0,1,1,2,1,1,1,4,0.5,2.5,1
175,0.5,1,1,0.5,0.5,1,0.5,0,1,1,129,1,128,1,3,6.056201550e-05,0.000242248,1
177,0.5,1,1,1.469367939e-39,1.469367939e-39,1,1.469367939e-39,0,1,1,129,128,128,1,3,0.007751938,0.007933624,1
185,0.75,1,1,1.469367939e-39,1.469367939e-39,1,1.469367939e-39,0,1,1,129,128,128,1,3,0.007751938,0.007933624,1
187,0.75,1,0,1,1,1,1,0,1,1,129,128,128,1,3,0.007751938,0.007933624,1
197,1,1,1,0.5,0.5,0.5,1,0,1,1,6,1,2,1,12,0.083333333,1.083333333,0
200,1,1,1,0.5,0.5,0.5,1,0,1,1,6,1,2,1,12,0.083333333,1.083333333,0
201,1,0.5,4,0.25,0.125,0.5,0.5,0,1,1,6,1,2,1,12,0.083333333,1.083333333,0
202,1,0.25,4,0.125,0.03125,0.5,0.25,0,1,1,6,1,2,1,12,0.083333333,1.083333333,0
208,1,0.5,2,0.125,0.0625,0.5,0.25,0,1,1,6,1,2,1,12,0.083333333,1.083333333,0
209,1,0.125,1,0.03125,0.00390625,0.5,0.0625,0,2,1,6,2,2,1,12,0.166666667,1.166666667,0
213,1,0.5,1,0.0625,0.03125,0.5,0.125,0,1,1,6,1,2,1,12,0.083333333,1.083333333,0
214,1,0.0625,1,0.03125,0.001953125,0.5,0.0625,0,1,1,6,1,2,1,12,0.083333333,1.083333333,0
226,2,1,1,0.5,0.5,0.5,1,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
229,2,1,1,0.5,0.5,0.5,1,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
230,2,0.5,1,0.25,0.125,0.5,0.5,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
231,2,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
237,2,0.5,1,0.25,0.125,0.5,0.5,0,1,1,3,1,1,1,6,0.333333333,2.333333333,0
248,3,1,1,0.5,0.5,0.5,1,0,1,1,5,1,1,1,9,0.2,2,0
252,3,1,1,0.5,0.5,0.5,1,0,1,1,5,1,1,1,9,0.2,2,0
253,3,0.5,1,0.25,0.125,0.5,0.5,0,1,1,5,1,1,1,9,0.2,2,0
254,3,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
260,3,0.125,1,0.0625,0.0078125,0.5,0.125,0,1,1,5,1,1,1,9,0.2,2,0
262,3,0.125,1,0.0625,0.0078125,0.5,0.125,0,1,1,5,1,1,1,9,0.2,2,0
275,3,0.5,1,0.25,0.125,0.5,0.5,0,1,1,5,1,1,1,9,0.2,2,0
277,3,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
279,3,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,5,1,1,1,9,0.2,2,0
292,4,1,1,0.5,0.5,0.5,1,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
294,4,1,1,0.5,0.5,0.5,1,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
295,4,0.5,1,0.25,0.125,0.5,0.5,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
296,4,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
301,4,0.5,1,0.25,0.125,0.5,0.5,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
302,4,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,6,1,1,1,7,0.166666667,1.333333333,0
307,4,0.5,1,0.25,0.125,0.5,0.5,1,1,1,6,1,1,1,7,0.166666667,1.333333333,0
134,5,1,1,0.5,0.5,0.5,1,0,1,1,4,1,1,1,7,0.25,2,0
136,5,1,1,0.5,0.5,0.5,1,0,1,1,4,1,1,1,7,0.25,2,0
137,5,0.5,1,0.25,0.125,0.5,0.5,0,1,1,4,1,1,1,7,0.25,2,0
140,5,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,4,1,1,1,7,0.25,2,0
148,5,0.5,1,0.25,0.125,0.5,0.5,0,1,1,4,1,1,1,7,0.25,2,0
151,5,0.25,1,0.125,0.03125,0.5,0.25,0,1,1,4,1,1,1,7,0.25,2,0
153,5,0.25,1,0.125,0.03125,0.5,0.25,1,1,1,4,1,1,1,7,0.25,2,0
12,0,1,1,1,1,1,1,0,1,1,20,20,20,20,1,0.05,1.0025,0
13,1,1,1,1,1,1,1,0,1,1,4,4,4,4,1,0.25,1.0625,1
16,2,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
18,2,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
12,0,1,1,1,1,1,1,0,1,1,20,20,20,20,1,0.05,1.0025,0
13,1,1,1,1,1,1,1,0,1,1,4,4,4,4,1,0.25,1.0625,1
16,2,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
18,2,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
64-132,1,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,3,0.5,2,0
64-132,1,1,1,0.25,0.25,0.5,0.5,0,1,1,2,1,1,1,3,0.5,2,0
33-40,1,1,1,1,1,1,1,0,1,1,128,128,128,128,1,0.0078125,1.000061035,0
80,2,1,1,1,1,1,1,0,1,1,128,128,128,128,1,0.0078125,1.000061035,0
82,3,1,1,1,1,1,1,0,1,1,128,32,32,32,4,0.0078125,0.250976563,0
83,3,1,1,1,1,1,1,0,1,1,128,32,32,32,4,0.0078125,0.250976563,0
84,3,1,1,1,1,1,1,0,1,1,128,32,32,32,4,0.0078125,0.250976563,0
85,3,1,1,1,1,1,1,0,1,1,128,32,32,32,4,0.0078125,0.250976563,0
93-96,4,1,1,1,1,1,1,0,1,1,32,32,32,32,1,0.03125,1.000976563,0
101,5,1,1,1,1,1,1,0,1,1,128,128,128,128,1,0.0078125,1.000061035,1
40,1,1,8,0.5,0.5,0.5,1,0,1,1,4,1,2,1,4,0.125,0.625,1
41,1,1,2,0.125,0.125,0.5,0.25,1,3,0.333333333,4,2,2,1,4,0.25,0.75,1
42,1,1,2,0.125,0.125,0.5,0.25,1,3,0.333333333,4,2,2,1,4,0.25,0.75,1
43,1,1,4,0.25,0.25,0.5,0.5,0,1,1,4,1,2,1,4,0.125,0.625,1
48,2,1,1,2.94e-33,2.94e-33,0.9999,2.940294029e-33,0,128,1,128,128,128,128,2,0.0078125,1.000122070,1
50,2,1,0,0.9999,0.9999,0.9999,1,0,128,1,128,128,128,128,2,0.0078125,1.000122070,1
35,1,1,3,0.75,0.75,0.5,1.5,0,1,1,2,2,2,2,2,0.5,1.5,0
37,1,1,1,0.25,0.25,0.5,0.5,0,1,1,2,2,2,2,2,0.5,1.5,0
44,2,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
46,2,1,1,0.5,0.5,0.5,1,0,1,1,1,1,1,1,2,1,3,0
57,1,1,1,0.5,0.5,0.5,1,0,1,1,2,1,1,1,3,0.5,2,0
59,1,1,1,0.25,0.25,0.5,0.5,0,1,1,2,1,1,1,3,0.5,2,0
34,2,1,1,0.5,0.5,0.5,1,0,1,1,132,1,129,1,6,5.872680291e-05,0.000411088,1
39,2,1,1,1.47e-33,1.47e-33,0.5,2.94e-33,0,132,1,132,128,129,1,6,0.007517031,0.007869392,1
41,2,1,1,7.35e-34,7.35e-34,0.5,1.47e-33,0,132,1,132,129,129,1,6,0.007575758,0.007928118,1
43,2,1,1,7.35e-34,7.35e-34,0.5,1.47e-33,0,132,1,132,129,129,1,6,0.007575758,0.007928118,1
45,2,1,1,7.35e-34,7.35e-34,0.5,1.47e-33,0,132,1,132,129,129,1,6,0.007575758,0.007928118,1
